id,price,sqft,bedrooms,bathrooms,listing_tags,furnishing,tenure,district,landed_vs_high_rise,pool,fitness,balcony
3710,2200000.0,4000.0,7.0,7.0,Bungalow House,Unfurnished,Leasehold,Shah Alam,landed,False,False,False
3711,650000.0,2530.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Cheras,landed,False,False,False
3712,520000.0,1550.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3713,1050000.0,4000.0,6.0,5.0,Bungalow House,Fully Furnished,Freehold,Semenyih,landed,True,True,True
3714,780000.0,2000.0,4.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Puchong,landed,False,False,False
3715,360000.0,969.0,3.0,2.0,Service Residence,Unfurnished,Freehold,Bangi,high-rise,False,False,False
3716,600000.0,1398.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Kajang,landed,False,False,False
3717,380000.0,1300.0,4.0,3.0,Condominium,Fully Furnished,Freehold,Cyberjaya,high-rise,True,True,True
3718,800120.0,1326.0,3.0,2.0,Condominium,Partially Furnished,Freehold,Damansara,high-rise,False,False,False
3719,350000.0,1800.0,4.0,2.0,2-storey Terraced House,Unfurnished,Leasehold,Klang,landed,False,False,False
3720,2170000.0,3522.0,5.0,5.0,Semi-Detached House,Unfurnished,Leasehold,Kuala Langat,landed,True,True,True
3721,975000.0,1465.0,3.0,2.0,Condominium,Partially Furnished,Freehold,Damansara,high-rise,False,False,False
3722,770000.0,2400.0,5.0,4.0,2-storey Terraced House,Partially Furnished,Leasehold,Shah Alam,landed,True,True,False
3723,465000.0,1100.0,3.0,2.0,2-storey Terraced House,Partially Furnished,Freehold,Gombak,landed,False,False,False
3724,488000.0,900.0,4.0,2.0,Condominium,Unfurnished,Freehold,Kajang,high-rise,True,True,False
3725,800000.0,2080.0,4.0,3.0,Semi-Detached House,Unfurnished,Leasehold,Sepang,landed,False,False,False
3726,718000.0,1500.0,5.0,3.0,2-storey Terraced House,Partially Furnished,Freehold,Klang,landed,False,False,False
3727,450000.0,1468.0,3.0,3.0,Apartment,Partially Furnished,Freehold,Kajang,high-rise,False,False,False
3728,350000.0,964.0,3.0,2.0,Apartment,Fully Furnished,Leasehold,Petaling Jaya,high-rise,True,True,False
3729,850000.0,2396.0,5.0,5.0,Cluster House,Unfurnished,Freehold,Semenyih,landed,False,False,False
3730,530000.0,1010.0,3.0,2.0,Service Residence,Partially Furnished,Leasehold,Petaling Jaya,high-rise,True,True,True
3731,749000.0,2055.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Sepang,landed,False,False,False
3732,698000.0,1920.0,4.0,3.0,Cluster House,Unfurnished,Leasehold,Puchong,landed,False,False,False
3733,1680000.0,4267.0,6.0,6.0,Semi-Detached House,Partially Furnished,Freehold,Cheras,landed,False,False,True
3734,255000.0,863.0,3.0,2.0,Apartment,Partially Furnished,Leasehold,Kuala Selangor,high-rise,True,False,False
3735,1600000.0,5952.0,6.0,5.0,Bungalow House,Unfurnished,Leasehold,Puchong,landed,False,False,False
3736,345699.0,2709.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,True,True,False
3737,700000.0,1910.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Sungai Buloh,landed,False,False,False
3738,6000000.0,8604.0,9.0,7.0,Bungalow House,Partially Furnished,Leasehold,Damansara,landed,False,False,True
3739,1270000.0,3201.0,4.0,4.0,Semi-Detached House,Unfurnished,Freehold,Cyberjaya,landed,False,False,False
3740,752000.0,2634.0,5.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Semenyih,landed,True,True,True
3741,330000.0,850.0,3.0,2.0,Service Residence,Unfurnished,Freehold,Sepang,high-rise,True,True,False
