id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,furnishing,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
2930,708800.0,Rawang Brand New 2 Storey Terrace House,1770.0,4.0,3.0,"Jln Rawang - Bestari Jaya, 48000 Rawang, Selangor, Rawang, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/rawang-brand-new-2-storey-terrace-house-for-sale-by-jia-jin-35989799#contact-agent, Selangor,False,False,False,13.471330089107228,5.514484217053799,landed,gombak
2931,359000.0,Puri Aiyu,912.0,3.0,2.0,"50 Jalan Jubli Perak 22/1, Seksyen 22, Shah Alam, Selangor",Apartment,Fully Furnished,Freehold,https://www.propertyguru.com.my/property-listing/puri-aiyu-for-sale-by-leey-yap-36350910, Selangor,True,True,False,12.791080452981857,5.1560293028668625,high-rise,petaling
2932,750000.0,Fully & Reno Setia Alam Sari,1945.0,4.0,3.0,"Bangi, Selangor",2-storey Terraced House,Fully Furnished,Freehold,https://www.propertyguru.com.my/property-listing/fully-reno-setia-alam-sari-for-sale-by-mohd-faez-ahmad-35971120#contact-agent, Selangor,False,False,False,13.527829818844937,5.563810057200167,landed,hulu langat
2933,510000.0,Taman Puncak Jalil PUJ2,1400.0,4.0,3.0,"Bandar Putra Permai, Seri Kembangan, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/taman-puncak-jalil-puj2-for-sale-by-khoo-34101831#contact-agent, Selangor,False,False,False,13.1421679654829,5.390046439037858,landed,petaling
2934,1129000.0,The Serenade,1690.0,4.0,4.0,"The Glades, Persiaran Putra Perdana, Putra Heights, Subang Jaya, Selangor",Penthouse,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/the-serenade-for-sale-by-nick-ch-35995853#contact-agent, Selangor,True,True,True,13.936843728870999,5.490140266624812,high-rise,petaling
2935,1980000.0,Grandville,4000.0,6.0,4.0,"Jalan USJ 1/3, Subang Heights, Subang Jaya, Selangor",Semi-Detached House,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/grandville-for-sale-by-mr-khor-35794977, Selangor,False,False,False,14.498607907721096,5.928082735543711,landed,petaling
2936,406000.0,Sepang Town Villa,1291.0,3.0,3.0,"Sepang, Selangor",1.5-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/sepang-town-villa-for-sale-by-macy-kong-36313055#contact-agent, Selangor,False,False,False,12.914110901635024,5.34644823964578,landed,sepang
2937,1068800.0,Klang 2 Storey Link Homes,2400.0,4.0,4.0,"Pelabuhan Klang, Bandar Bukit Tinggi, Bandar Bukit Tinggi, Klang, Selangor",2-storey Terraced House,Unfurnished,Leasehold,https://www.propertyguru.com.my/property-listing/klang-2-storey-link-homes-for-sale-by-jia-jin-35979481, Selangor,False,False,False,13.882048017392822,5.672353456128294,landed,klang
2938,1220000.0,Persada bandar bukit raja,2200.0,4.0,3.0,"Jalan canggung ku5 bandar bukit raja, Bandar Bukit Raja, Klang, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/persada-bandar-bukit-raja-for-sale-by-oscar-tee-34856564#contact-agent, Selangor,False,False,False,14.014362236381235,5.627661947128059,landed,klang
2939,604508.0,HighPark Suites,743.0,1.0,2.0,"HighPark Suites, Kelana Jaya, Petaling Jaya, Selangor",Service Residence,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/highpark-suites-for-sale-by-jesslyn-choo-36196224, Selangor,True,True,False,13.312171837263623,5.041037568594874,high-rise,petaling
2940,950000.0,Cahaya Alam,2224.0,5.0,4.0,"Jalan Selasih U12/18e, Shah Alam, Selangor",2.5-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/cahaya-alam-for-sale-by-syahirah-noridan-36299237#contact-agent, Selangor,False,False,False,13.76421831620775,5.6332531083669934,landed,petaling
2941,584000.0,Freehold High Ceiling 2 Storey @ Aeon Rawang,1799.0,4.0,4.0,"Aeon Rawang, Anggun City Freehold, Rawang, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/freehold-high-ceiling-2-storey-aeon-rawang-for-sale-by-nick-ch-35964192#contact-agent, Selangor,True,True,True,13.277657974137664,5.523015064529238,landed,gombak
2942,538000.0,Teluk Pulai Klang,2000.0,4.0,3.0,"Klang, Selangor",1-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/teluk-pulai-klang-for-sale-by-alex-lee-36013108, Selangor,False,False,False,13.195615697878253,5.578322242409578,landed,klang
