id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
1431,509000.0,"【Semi-D Sizes House, Condo Price】400-600k FREEHOLD Double Storey, Limited Unit! 0 Downpayment",2586.0,4.0,4.0,"Size 22x70, Gated Guarded, Corner 600k Bumi, Setia Alam, Shah Alam, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-sizes-house-condo-price-400-600k-freehold-double-storey-limited-unit-0-downpayment-for-sale-by-melanie-tan-34369997#contact-agent, Selangor,False,False,False,13.140205260167273,6.394672594634712,landed,petaling
1432,870000.0,Rimbayu Perennia,2217.0,5.0,5.0,"Jalan Flora 3B/5, Bandar Rimbayu, Kota Kemuning, Shah Alam, Selangor",2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/rimbayu-perennia-for-sale-by-jayden-chan-35251198, Selangor,True,True,True,13.676249640055394,6.293828812163019,landed,petaling
1433,3200000.0,Kayangan Heights,12000.0,6.0,7.0,"Jalan Merah Mawar U9/6, Shah Alam, Selangor",Bungalow House,Leasehold,https://www.propertyguru.com.my/property-listing/kayangan-heights-for-sale-by-izzat-ibrahim-34307507, Selangor,True,True,True,14.978661680269907,7.355140774797289,landed,petaling
1434,397000.0,Special Offer ! ! New SuperLink House 22X80 Free Swimming Pool Cash Back 60K Near School,2718.0,4.0,4.0,"Bandar Baru Bangi, Bangi, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/special-offer-new-superlink-house-22x80-free-swimming-pool-cash-back-60k-near-school-for-sale-by-nicole-32072056, Selangor,True,True,True,12.891694078557842,6.427101470559362,landed,hulu langat
1435,2240000.0,New 3. 5 sty Bungalow Shah Alam beside Bukit Jelutong,4500.0,7.0,7.0,"Bukit Jelutong, Shah Alam, Selangor",Bungalow House,Freehold,https://www.propertyguru.com.my/property-listing/new-3-5-sty-bungalow-shah-alam-beside-bukit-jelutong-for-sale-by-sean-chia-35963846, Selangor,False,False,True,14.621986870259695,6.750621091050472,landed,petaling
1436,3200000.0,"BK6, Bandar Kinrara",11250.0,5.0,5.0,"Bandar Kinrara, Puchong, Selangor",Bungalow House,Freehold,https://www.propertyguru.com.my/property-listing/bk6-bandar-kinrara-for-sale-by-yin-peng-35241543#contact-agent, Selangor,False,False,False,14.978661680269907,7.316346709994014,landed,sepang
1437,700000.0,"Kota Kemuning, Bukit Rimau, Shah Alam",1600.0,4.0,3.0,"Jalan anggerik vanilla, Kota Kemuning, Shah Alam, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/kota-kemuning-bukit-rimau-shah-alam-for-sale-by-cookie-cheah-30094465, Selangor,False,False,False,13.45883704259595,6.077386913536817,landed,petaling
1438,520000.0,Puncak Tamu Batang Kali,1560.0,4.0,3.0,"Batang Kali, Hulu Selangor, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/puncak-tamu-batang-kali-for-sale-by-zakiah-binti-salim-34658436#contact-agent, Selangor,False,False,False,13.161586013632684,6.06042429911508,landed,hulu selangor
1439,690000.0,Taman Bukit Indah,1300.0,4.0,3.0,"Jalan Bukit Indah, Ampang, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-indah-for-sale-by-aideel-adam-36112212#contact-agent, Selangor,False,False,False,13.444448325847754,5.937579083512736,landed,gombak
1440,521000.0,KAJANG [ Bungalow Concept ! ! [ 100% Affordable 40x85 Double Storey ] Partially Furnished ! !,3890.0,5.0,5.0,"Kajang, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/kajang-bungalow-concept-100-affordable-40x85-double-storey-partially-furnished-for-sale-by-connie-chai-35549294#contact-agent, Selangor,True,True,True,13.163507240119458,6.658058994060734,landed,hulu langat
