id,price,listing_title,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,furnishing,tenure,floor_size_det,url,state,district,pool,fitness,balcony
857,760000.0,[54x70 Corner Lot] Wide Land Hilltop Residence Individual Title,2055.0,4.0,4.0,"Cyberjaya, Selangor",369.83,2-storey Terraced House,Partially Furnished,Freehold,2055.0,https://www.propertyguru.com.my/property-listing/54x70-corner-lot-wide-land-hilltop-residence-individual-title-for-sale-by-winjian-lim-34893523, Selangor,Cyberjaya,False,True,True
858,199000.0,Free Maintenance Fee + 100% Loan Mthly RM900 Rental RM3000 Roi 10%-Putrajaya,500.0,2.0,2.0,"Putrajaya, Selangor",398.0,Condominium,Fully Furnished,Freehold,500.0,https://www.propertyguru.com.my/property-listing/free-maintenance-fee-100-loan-mthly-rm900-rental-rm3000-roi-10-putrajaya-for-sale-by-winnie-35885813, Selangor,Putrajaya,False,False,False
859,850000.0,Actual Unit Ready For View l Hilltop Residence in BSD l Super Low Dense,1500.0,4.0,3.0,"Bandar Sri Damansara, Damansara, Selangor",566.67,Condominium,Partially Furnished,Freehold,1500.0,https://www.propertyguru.com.my/property-listing/actual-unit-ready-for-view-l-hilltop-residence-in-bsd-l-super-low-dense-for-sale-by-joey-lim-35974998#contact-agent, Selangor,Damansara,True,True,True
860,990000.0,Bandar Bukit Tinggi 2,2240.0,5.0,4.0,"batu nilam 28, Bandar Bukit Tinggi, Klang, Selangor",441.96,2-storey Terraced House,Partially Furnished,Freehold,2240.0,https://www.propertyguru.com.my/property-listing/bandar-bukit-tinggi-2-for-sale-by-kenny-chan-36391269#contact-agent, Selangor,Klang,False,False,False
861,480000.0,Hillpark 2 Taman Teknologi Kajang,1560.0,4.0,3.0,"Kajang, Selangor",307.69,2-storey Terraced House,Partially Furnished,Freehold,1560.0,https://www.propertyguru.com.my/property-listing/hillpark-2-taman-teknologi-kajang-for-sale-by-fasha-hamid-36154684, Selangor,Kajang,False,False,False
862,412888.0,BANGI 2-STOREY! !! 20X65 FREEHOLD (0%D/P 2021HOC),2158.0,4.0,4.0,"Bangi, Selangor",191.33,2-storey Terraced House,Partially Furnished,Freehold,2158.0,https://www.propertyguru.com.my/property-listing/bangi-2-storey-20x65-freehold-0-d-p-2021hoc-for-sale-by-serena-ang-33925216#contact-agent, Selangor,Bangi,False,False,False
863,403599.0,PUCHONG [BUMI LOT ONLY] Semi-D 30X80 Urgent Sell ! ! PM fast,3169.0,5.0,4.0,"Bandar Puteri Puchong, Puchong, Selangor",127.36,Semi-Detached House,Partially Furnished,Freehold,3169.0,https://www.propertyguru.com.my/property-listing/puchong-bumi-lot-only-semi-d-30x80-urgent-sell-pm-fast-for-sale-by-karen-ng-36368764, Selangor,Puchong,False,False,False
864,699999.0,taman pinggiran indah,2300.0,3.0,2.0,"taman pinggiran indah, Batu Caves, Gombak, Selangor",304.35,2-storey Terraced House,Partially Furnished,Freehold,2300.0,https://www.propertyguru.com.my/property-listing/taman-pinggiran-indah-for-sale-by-rashid-sukri-35745121#contact-agent, Selangor,Gombak,False,False,True
865,330000.0,Bandar Country Homes,1600.0,4.0,3.0,"Desa 13 Bandar Country Homes, Bandar Country Homes, Rawang, Selangor",206.25,2-storey Terraced House,Partially Furnished,Freehold,1600.0,https://www.propertyguru.com.my/property-listing/bandar-country-homes-for-sale-by-eric-chong-35003746#contact-agent, Selangor,Rawang,False,False,False
866,2990000.0,"2-Storey Bungalow @ SS1, Kampung Tunku, Petaling Jaya",7373.0,6.0,6.0,"Jalan SS 1/XX, Kelana Jaya, Petaling Jaya, Selangor",405.53,Bungalow House,Partially Furnished,Freehold,4800.0,https://www.propertyguru.com.my/property-listing/2-storey-bungalow-ss1-kampung-tunku-petaling-jaya-for-sale-by-ivan-lee-35493071, Selangor,Petaling Jaya,False,False,False
867,590000.0,Rawang 24x65 Big Layout 2 sty 0% Downpayment + Cashback Freehold,1800.0,4.0,3.0,"Bandar Country Homes, Rawang, Selangor",327.78,2-storey Terraced House,Unfurnished,Freehold,1800.0,https://www.propertyguru.com.my/property-listing/rawang-24x65-big-layout-2-sty-0-downpayment-cashback-freehold-for-sale-by-daniel-yap-35739610, Selangor,Rawang,False,False,False
868,1800000.0,"EXCLUSIVE ! - NEWLY 4Sty VILLAS ( SWIM POOL ) + ( OWN LIFT ) Kemensah, Ampang / KL",4820.0,6.0,6.0,"EMBUN KEMENSAH, Taman Melawati, Ulu Klang, Selangor",373.44,Twin Courtyard Villa,Unfurnished,Freehold,4820.0,https://www.propertyguru.com.my/property-listing/exclusive-newly-4sty-villas-swim-pool-own-lift-kemensah-ampang-kl-for-sale-by-mohd-syam-30881177, Selangor,Ulu Klang,False,False,False
869,245000.0,Pangsapuri Suakasih,650.0,3.0,2.0,"- Bandar Tun Hussein Onn, Batu 9th Cheras, Cheras, Selangor",376.92,Apartment,Partially Furnished,Leasehold,650.0,https://www.propertyguru.com.my/property-listing/pangsapuri-suakasih-for-sale-by-mohd-zulhilmi-36361767#contact-agent, Selangor,Cheras,False,False,False
870,514000.0,The Clio2 Residences,947.0,3.0,2.0,"IOI Resort City, Putrajaya, Selangor",542.77,Service Residence,Partially Furnished,Freehold,947.0,https://www.propertyguru.com.my/property-listing/the-clio2-residences-for-sale-by-eda-36261987#contact-agent, Selangor,Putrajaya,True,True,False
